,unicef_region,iso3,country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,GDP, Total (in thousdands) ,Pop % under 14, 15-24 , 25-59 , 60+ ,Pop # under 14
0,South Asia,AFG,Afghanistan,73.0,73.0,73.0,76.0,78.0,78.0,72.0,72.0,75.0,76.0,75.0,76.0,72.0,66.0,62.0,59.0,48.0,52.0,52.0,48.0,56.0,44.0,33.0,41.0,45.0,47.0,50.0,58.0,60.0,50.0,32.0,37.0,39.0,24.0,24.0,,22.0,"19,469","35,530",43.0,21.0,31,4.0,15277900.0
1,Eastern Europe & Central Asia,ALB,Albania,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,97.0,98.0,97.0,98.0,98.0,99.0,99.0,98.0,98.0,99.0,98.0,97.0,92.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,"11,927","2,930",17.0,16.0,48,19.0,498100.0
2,Middle East & North Africa,DZA,Algeria,96.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,98.0,98.0,94.0,93.0,93.0,93.0,92.0,95.0,92.0,94.0,96.0,96.0,96.0,95.0,96.0,96.0,96.0,96.0,95.0,93.0,92.0,92.0,88.0,,,,,,"156,080","41,318",29.0,15.0, zz ,9.0,11982220.0
3,Western Europe,AND,Andorra,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,99.0,99.0,99.0,99.0,98.0,99.0,96.0,96.0,96.0,,,,,,,,,,,,,,,,,, .. ,77,,,,,
4,Eastern & Southern Africa,AGO,Angola,79.0,77.0,81.0,79.0,83.0,88.0,93.0,79.0,88.0,73.0,57.0,54.0,69.0,64.0,62.0,55.0,44.0,51.0,59.0,66.0,53.0,48.0,52.0,55.0,45.0,51.0,48.0,41.0,33.0,31.0,31.0,28.0,28.0,25.0,,,,"89,633","29,784",47.0,19.0,30,4.0,13998480.0
5,Latin America & Caribbean,ATG,Antigua and Barbuda,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,98.0,98.0,98.0,99.0,97.0,99.0,92.0,92.0,77.0,"1,449",102,24.0,17.0,49,11.0,24480.0
6,Latin America & Caribbean,ARG,Argentina,97.0,94.0,98.0,94.0,94.0,94.0,95.0,94.0,97.0,94.0,93.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,94.0,95.0,94.0,93.0,93.0,93.0,95.0,93.0,93.0,91.0,86.0,86.0,83.0,82.0,80.0,73.0,69.0,"545,866","44,271",25.0,16.0,44,15.0,11067750.0
7,Eastern Europe & Central Asia,ARM,Armenia,97.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,96.0,96.0,95.0,96.0,97.0,98.0,98.0,98.0,97.0,97.0,93.0,96.0,95.0,98.0,95.0,95.0,95.0,,,,,,,,,,,,,"10,547","2,930",20.0,13.0,50,17.0,586000.0
8,East Asia & Pacific,AUS,Australia,98.0,97.0,92.0,92.0,92.0,92.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,84.0,91.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,97.0,96.0,93.0,91.0,87.0,83.0,78.0,72.0,65.0,58.0,"1,204,616","24,451",19.0,13.0,47,21.0,4645690.0
9,Western Europe,AUT,Austria,99.0,99.0,99.0,99.0,99.0,99.0,98.0,93.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,"386,428","8,735",14.0,11.0,50,25.0,1222900.0
10,Eastern Europe & Central Asia,AZE,Azerbaijan,98.0,97.0,96.0,95.0,94.0,94.0,94.0,90.0,90.0,87.0,86.0,81.0,84.0,83.0,82.0,83.0,83.0,83.0,81.0,78.0,82.0,79.0,77.0,65.0,64.0,,,,,,,,,,,,,"37,848","9,828",23.0,15.0,51,10.0,2260440.0
11,Latin America & Caribbean,BHS,Bahamas,95.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,95.0,95.0,95.0,97.0,97.0,97.0,97.0,95.0,95.0,95.0,95.0,95.0,95.0,87.0,85.0,87.0,78.0,61.0,"9,047",395,20.0,16.0,50,14.0,79000.0
12,Middle East & North Africa,BHR,Bahrain,99.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,98.0,96.0,98.0,99.0,97.0,97.0,99.0,97.0,98.0,98.0,98.0,97.0,96.0,95.0,94.0,92.0,91.0,89.0,"31,859","1,493",20.0,13.0,62,5.0,298600.0
13,South Asia,BGD,Bangladesh,99.0,99.0,99.0,98.0,97.0,99.0,98.0,99.0,99.0,98.0,97.0,97.0,99.0,93.0,95.0,94.0,92.0,91.0,89.0,92.0,91.0,87.0,94.0,79.0,86.0,88.0,86.0,73.0,39.0,29.0,22.0,20.0,18.0,18.0,18.0,18.0,,"221,415","164,670",28.0,19.0,45,7.0,46107600.0
14,Latin America & Caribbean,BRB,Barbados,99.0,99.0,98.0,97.0,96.0,95.0,94.0,93.0,85.0,93.0,94.0,97.0,97.0,91.0,92.0,92.0,93.0,95.0,96.0,98.0,95.0,97.0,96.0,95.0,96.0,94.0,97.0,92.0,91.0,92.0,92.0,94.0,94.0,87.0,83.0,80.0,82.0,"4,588",286,19.0,13.0,47,21.0,54340.0
15,Eastern Europe & Central Asia,BLR,Belarus,99.0,99.0,97.0,99.0,98.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,74.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,96.0,,,,,,,,,,,,,"47,433","9,468",17.0,10.0,52,21.0,1609560.0
16,Western Europe,BEL,Belgium,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,98.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0,93.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,"466,366","11,429",17.0,11.0,47,25.0,1942930.0
17,Latin America & Caribbean,BLZ,Belize,98.0,97.0,96.0,96.0,99.0,98.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,95.0,94.0,96.0,96.0,96.0,94.0,97.0,88.0,90.0,87.0,98.0,81.0,77.0,81.0,74.0,77.0,72.0,"1,765",375,31.0,20.0,42,6.0,116250.0
18,West & Central Africa,BEN,Benin,86.0,86.0,86.0,86.0,89.0,85.0,87.0,89.0,91.0,94.0,89.0,84.0,85.0,86.0,87.0,88.0,89.0,88.0,87.0,86.0,86.0,82.0,89.0,87.0,86.0,83.0,86.0,68.0,51.0,46.0,36.0,36.0,,,,,,"8,583","11,176",43.0,20.0,32,5.0,4805680.0
19,South Asia,BTN,Bhutan,99.0,99.0,99.0,97.0,97.0,98.0,94.0,97.0,97.0,98.0,97.0,97.0,92.0,96.0,95.0,96.0,96.0,95.0,96.0,95.0,95.0,95.0,95.0,92.0,95.0,97.0,98.0,91.0,88.0,84.0,77.0,66.0,53.0,39.0,37.0,35.0,25.0,"2,237",808,27.0,19.0,47,7.0,218160.0
20,Latin America & Caribbean,BOL,Bolivia (Plurinational State of),99.0,99.0,99.0,98.0,97.0,98.0,97.0,97.0,96.0,85.0,87.0,93.0,88.0,96.0,94.0,91.0,92.0,92.0,86.0,80.0,82.0,84.0,80.0,76.0,70.0,68.0,66.0,76.0,53.0,60.0,67.0,58.0,25.0,31.0,33.0,35.0,32.0,"33,806","11,052",32.0,19.0,40,9.0,3536640.0
21,Eastern Europe & Central Asia,BIH,Bosnia and Herzegovina,90.0,89.0,92.0,94.0,95.0,94.0,95.0,95.0,95.0,96.0,94.0,95.0,93.0,93.0,86.0,94.0,90.0,90.0,91.0,92.0,86.0,78.0,94.0,63.0,80.0,,,,,,,,,,,,,"16,560","3,507",14.0,13.0,50,23.0,490980.0
22,Eastern & Southern Africa,BWA,Botswana,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,93.0,98.0,98.0,98.0,97.0,97.0,93.0,89.0,"15,275","2,292",31.0,19.0,43,6.0,710520.0
23,Latin America & Caribbean,BRA,Brazil,89.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,75.0,85.0,50.0,91.0,88.0,92.0,86.0,79.0,80.0,80.0,80.0,86.0,87.0,82.0,79.0,72.0,62.0,"1,796,187","209,288",22.0,16.0,49,13.0,46043360.0
24,East Asia & Pacific,BRN,Brunei Darussalam,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,96.0,95.0,95.0,96.0,98.0,95.0,99.0,97.0,96.0,"11,400",429,23.0,16.0,52,8.0,98670.0
25,Eastern Europe & Central Asia,BGR,Bulgaria,94.0,93.0,90.0,96.0,96.0,96.0,96.0,96.0,97.0,96.0,97.0,97.0,95.0,96.0,97.0,95.0,95.0,96.0,96.0,97.0,98.0,98.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,"52,395","7,085",14.0,9.0,49,28.0,991900.0
26,West & Central Africa,BFA,Burkina Faso,95.0,95.0,95.0,94.0,94.0,93.0,93.0,93.0,97.0,92.0,91.0,91.0,90.0,90.0,89.0,93.0,97.0,83.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,86.0,92.0,81.0,74.0,53.0,48.0,35.0,,,,,,"12,115","19,193",45.0,20.0,31,4.0,8636850.0
27,Eastern & Southern Africa,BDI,Burundi,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,99.0,99.0,96.0,95.0,93.0,91.0,90.0,88.0,86.0,86.0,86.0,86.0,86.0,72.0,84.0,93.0,94.0,95.0,94.0,68.0,87.0,76.0,61.0,51.0,69.0,58.0,61.0,,"3,007","10,864",45.0,19.0,31,4.0,4888800.0
28,West & Central Africa,CPV,Cabo Verde,96.0,97.0,99.0,93.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,95.0,95.0,94.0,94.0,93.0,93.0,92.0,90.0,90.0,95.0,96.0,96.0,95.0,96.0,99.0,96.0,97.0,77.0,64.0,56.0,47.0,,,,"1,617",546,30.0,21.0,42,7.0,163800.0
29,East Asia & Pacific,KHM,Cambodia,92.0,92.0,92.0,92.0,94.0,94.0,92.0,99.0,95.0,87.0,85.0,85.0,92.0,74.0,60.0,65.0,78.0,73.0,78.0,62.0,59.0,55.0,53.0,51.0,48.0,63.0,63.0,72.0,70.0,62.0,62.0,47.0,40.0,,,,,"20,017","16,005",31.0,20.0,42,7.0,4961550.0
30,West & Central Africa,CMR,Cameroon,92.0,92.0,93.0,95.0,94.0,90.0,92.0,88.0,93.0,90.0,87.0,85.0,80.0,79.0,75.0,70.0,66.0,69.0,71.0,72.0,71.0,71.0,63.0,62.0,62.0,67.0,70.0,73.0,68.0,63.0,58.0,52.0,46.0,44.0,31.0,18.0,,"24,204","24,054",43.0,20.0,33,5.0,10343220.0
31,North America,CAN,Canada,96.0,96.0,96.0,96.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,98.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,,,,,,,,"1,529,760","36,624",16.0,12.0,48,23.0,5859840.0
32,West & Central Africa,CAF,Central African Republic,69.0,69.0,69.0,35.0,69.0,69.0,67.0,65.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,65.0,60.0,55.0,61.0,66.0,72.0,77.0,76.0,75.0,75.0,85.0,95.0,84.0,67.0,46.0,42.0,44.0,40.0,39.0,36.0,32.0,35.0,"1,756","4,659",43.0,21.0,30,5.0,2003370.0
33,West & Central Africa,TCD,Chad,60.0,60.0,60.0,58.0,57.0,55.0,55.0,45.0,47.0,50.0,58.0,46.0,35.0,45.0,45.0,44.0,45.0,45.0,47.0,48.0,44.0,41.0,41.0,35.0,31.0,41.0,44.0,44.0,36.0,36.0,31.0,21.0,21.0,18.0,,,,"9,601","14,900",47.0,20.0,28,4.0,7003000.0
34,Latin America & Caribbean,CHL,Chile,99.0,97.0,99.0,92.0,90.0,98.0,93.0,94.0,96.0,98.0,95.0,92.0,94.0,98.0,98.0,99.0,98.0,97.0,97.0,96.0,97.0,97.0,97.0,96.0,96.0,97.0,98.0,98.0,98.0,97.0,96.0,99.0,99.0,96.0,99.0,99.0,97.0,"247,028","18,055",20.0,15.0,49,16.0,3611000.0
35,East Asia & Pacific,CHN,China,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,93.0,95.0,96.0,97.0,97.0,98.0,98.0,98.0,91.0,92.0,92.0,90.0,80.0,,,,"11,199,145","1,409,517",18.0,12.0,54,16.0,253713060.0
36,Latin America & Caribbean,COL,Colombia,93.0,93.0,91.0,97.0,91.0,95.0,96.0,97.0,97.0,97.0,97.0,97.0,90.0,94.0,93.0,82.0,91.0,95.0,95.0,94.0,95.0,95.0,95.0,94.0,92.0,94.0,96.0,92.0,90.0,80.0,72.0,82.0,82.0,67.0,51.0,44.0,39.0,"282,463","49,066",23.0,17.0,48,12.0,11285180.0
37,Eastern & Southern Africa,COM,Comoros,96.0,96.0,93.0,90.0,91.0,92.0,81.0,89.0,85.0,79.0,78.0,77.0,85.0,82.0,96.0,85.0,85.0,73.0,90.0,72.0,82.0,91.0,80.0,88.0,63.0,76.0,97.0,94.0,68.0,88.0,88.0,75.0,56.0,,,,,617,814,40.0,20.0,36,5.0,325600.0
38,West & Central Africa,COG,Congo,85.0,85.0,95.0,90.0,90.0,90.0,90.0,92.0,93.0,80.0,81.0,73.0,67.0,62.0,50.0,44.0,45.0,46.0,46.0,47.0,62.0,74.0,78.0,82.0,86.0,90.0,92.0,92.0,89.0,89.0,88.0,77.0,77.0,74.0,72.0,67.0,67.0,"7,834","5,261",42.0,18.0,34,5.0,2209620.0
39,East Asia & Pacific,COK,Cook Islands,99.0,99.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,97.0,99.0,98.0,98.0,97.0,91.0,97.0,95.0,99.0,95.0,95.0,97.0,96.0,97.0,94.0,95.0,92.0,72.0,80.0,75.0,71.0,65.0,,17,,,,,
40,Latin America & Caribbean,CRI,Costa Rica,99.0,93.0,91.0,98.0,92.0,87.0,96.0,91.0,90.0,90.0,89.0,97.0,96.0,89.0,98.0,91.0,90.0,92.0,95.0,97.0,95.0,95.0,96.0,96.0,96.0,96.0,98.0,95.0,95.0,97.0,96.0,96.0,97.0,95.0,93.0,95.0,95.0,"57,436","4,906",22.0,16.0,49,14.0,1079320.0
41,West & Central Africa,CIV,Côte d’Ivoire,98.0,99.0,93.0,89.0,93.0,75.0,95.0,95.0,89.0,93.0,95.0,83.0,73.0,71.0,76.0,81.0,85.0,77.0,74.0,77.0,70.0,64.0,72.0,77.0,73.0,64.0,77.0,67.0,56.0,56.0,55.0,50.0,42.0,,,,,"36,165","24,295",42.0,20.0,33,5.0,10203900.0
42,Eastern Europe & Central Asia,HRV,Croatia,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,98.0,99.0,94.0,95.0,96.0,96.0,97.0,97.0,96.0,95.0,95.0,94.0,,,,,,,,,,,,,"50,425","4,189",15.0,11.0,47,27.0,628350.0
43,Latin America & Caribbean,CUB,Cuba,99.0,99.0,99.0,99.0,99.0,99.0,96.0,98.0,96.0,97.0,98.0,99.0,89.0,90.0,99.0,99.0,98.0,95.0,99.0,99.0,96.0,99.0,99.0,99.0,97.0,99.0,97.0,98.0,98.0,95.0,99.0,97.0,95.0,99.0,99.0,87.0,86.0,"87,133","11,485",16.0,12.0,52,20.0,1837600.0
44,Western Europe,CYP,Cyprus,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,97.0,97.0,82.0,55.0,59.0,51.0,79.0,59.0,"19,802","1,180",17.0,15.0,50,18.0,200600.0
45,Western Europe,CZE,Czech Republic,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,,,,,,,,,,,,,,"192,925","10,618",15.0,9.0,50,26.0,1592700.0
46,East Asia & Pacific,PRK,Democratic People’s Republic of Korea,97.0,97.0,94.0,94.0,97.0,95.0,94.0,94.0,93.0,93.0,91.0,83.0,75.0,70.0,65.0,63.0,61.0,58.0,56.0,54.0,74.0,84.0,91.0,96.0,96.0,98.0,98.0,98.0,95.0,95.0,82.0,78.0,86.0,76.0,75.0,76.0,74.0, .. ,"25,491",21.0,15.0,51,13.0,5353110.0
47,West & Central Africa,COD,Democratic Republic of the Congo,80.0,82.0,81.0,79.0,81.0,85.0,71.0,82.0,73.0,78.0,71.0,68.0,66.0,53.0,47.0,49.0,49.0,46.0,44.0,41.0,41.0,47.0,51.0,54.0,47.0,39.0,60.0,63.0,66.0,63.0,57.0,62.0,52.0,39.0,40.0,41.0,,"34,999","81,340",46.0,19.0,30,5.0,37416400.0
48,Western Europe,DNK,Denmark,97.0,96.0,96.0,97.0,97.0,94.0,93.0,90.0,89.0,87.0,93.0,93.0,95.0,98.0,99.0,97.0,98.0,99.0,99.0,97.0,94.0,97.0,96.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,99.0,95.0,96.0,97.0,97.0,97.0,"306,143","5,734",16.0,13.0,45,25.0,917440.0
49,Eastern & Southern Africa,DJI,Djibouti,90.0,90.0,93.0,87.0,85.0,89.0,90.0,90.0,90.0,92.0,76.0,73.0,81.0,76.0,72.0,65.0,66.0,63.0,60.0,57.0,66.0,66.0,66.0,66.0,66.0,77.0,95.0,91.0,85.0,50.0,48.0,46.0,45.0,36.0,25.0,,,"1,727",957,31.0,20.0,42,6.0,296670.0
50,Latin America & Caribbean,DMA,Dominica,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,96.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,97.0,98.0,98.0,97.0,97.0,94.0,97.0,99.0,98.0,84.0,525,74,,,,,
51,Latin America & Caribbean,DOM,Dominican Republic,98.0,99.0,95.0,91.0,92.0,91.0,96.0,85.0,86.0,87.0,93.0,92.0,87.0,88.0,92.0,95.0,91.0,95.0,91.0,86.0,88.0,89.0,90.0,91.0,90.0,88.0,87.0,80.0,80.0,93.0,93.0,64.0,59.0,54.0,53.0,52.0,61.0,"71,584","10,767",29.0,18.0,43,10.0,3122430.0
52,Latin America & Caribbean,ECU,Ecuador,94.0,80.0,84.0,87.0,88.0,89.0,91.0,98.0,98.0,98.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,93.0,94.0,93.0,94.0,94.0,94.0,95.0,95.0,81.0,87.0,78.0,77.0,75.0,69.0,66.0,72.0,56.0,60.0,51.0,31.0,"97,802","16,625",28.0,18.0,43,10.0,4655000.0
